Date,Open,High,Low,Close,Volume,Market Cap
12-11-2015,0.000013,0.000017,0.000013,0.000017,142,
13-11-2015,0.000017,0.000033,0.000016,0.000024,85,
14-11-2015,0.000024,0.000053,0.000023,0.00003,131,
15-11-2015,0.00003,0.000063,0.000022,0.000035,132,
16-11-2015,0.000035,0.000046,0.000032,0.000036,280,
17-11-2015,0.000036,0.000044,0.000033,0.000034,194,
18-11-2015,0.000037,0.00004,0.000033,0.000033,170,
19-11-2015,0.000033,0.000157,0.000033,0.000068,356,
20-11-2015,0.000069,0.000093,0.000062,0.000064,158,
21-11-2015,0.000064,0.000098,0.000064,0.000065,108,
22-11-2015,0.000065,0.000072,0.000064,0.000065,162,
23-11-2015,0.000065,0.000078,0.000064,0.000068,194,
24-11-2015,0.000068,0.0001,0.000064,0.000096,31,
25-11-2015,0.000096,0.000157,0.000095,0.000105,475,
26-11-2015,0.000105,0.000134,0.0001,0.000106,190,
27-11-2015,0.000106,0.000131,0.000105,0.000107,7,
28-11-2015,0.000107,0.000174,0.000106,0.000107,135,
